#,key,char,hbl,cat,edb,jp,eng,cmn,urd,urd_,nep,hin,hin_,ind
1940,右,右,hbl__01,cat__v_cat,edb__KS1,jau6,right,右,صحیح,sahi,सहि,सही,sahi,kanan
1950,同埋,同埋,hbl__01,cat__conj,edb__NA,tung4-maai4,and,还有,اور,aur,र,और,aur,dan
1960,同學,同學,hbl__01,cat__n_ppl,edb__KS1,tung4-hok6,schoolmate,同学,ہم جماعت,hmjmaat,सहपाठी,सहपाठी,sehpaathi,teman sekolah/sekelas
1970,吓,吓,hbl__01,cat__intj,edb__NA,haa2,what?,啥,کیا؟,kya?,के?,क्या?,kya?,apa
1980,咦,咦,hbl__01,cat__intj,edb__KS2,ji2,Look!,咦,دیکھو!,dekho!,हेर!,देखो!,dekho!,apa itu?
1990,哦,哦,hbl__01,cat__intj,edb__KS1,o2[o3],Oh!,哦,اوہ !,oh!,"ओह, यो त्यस्तै हो!",ओह!,oh!,oh
2000,唔到,唔到,hbl__01,cat__v_modal,edb__NA,m4-dou2,cannot,不到,نہیں کر سکتے ہیں,nahin kr sakta,सकदिन,नही सकता,nahin sakta,kurang dari
2010,唔同,唔同,hbl__01,cat__v_stat,edb__NA,m4-tung4,different,不一样,مختلف,mukhtalif,फरक,अलग,alag,berbeda
2020,唔好,唔好,hbl__01,cat__v_modal,edb__NA,m4-hou2,do not,不好,ایسا نہیں کریں,aisa na karen,यो नगर्नुहोस्,ऐसा न करें,aisa na karen,tidak baik
2030,唔好意思,唔好意思,hbl__01,cat__expr,edb__NA,m4-hou2-ji3-si1,Sorry!,不好意思,معذرت!,maazrat!,मलाईं माफ गर्नुहोस्!,माफ़ करना!,maaf karna!,maaf
2040,唔明,唔明,hbl__01,cat__v_stat,edb__NA,m4-ming4,not understand,不明白,سمجھ نہیں,samaj nahi,बुझ्न सक्दैन,समझ नहीं आता,samajh nahin aata,tidak mengerti
2050,唔見,唔見,hbl__01,cat__v_stat,edb__NA,m4-gin3,to lose,不见,ہارنا,harna,हराउनु,खोना,khona,tidak melihat
2060,唱,唱,hbl__01,cat__v_act,edb__KS1,coeng3,to sing,唱,گانا,gaana,गाउनको लागि,गाना,gaana,bernyanyi
2070,唱歌,唱歌,hbl__01,cat__n_act,edb__KS1,coeng3-go1,to sing song,唱歌,گانا گانا,geet gaana,गाउनको लागी,गीत गाना,geet gaana,nyanyi lagu
2080,問,問,hbl__01,cat__v_act,edb__KS1,man6,to ask,问,پوچھنا,poochhna,सोध्नु,पूछना,poochhna,tanya
2090,問題,問題,hbl__01,cat__n_abs,edb__KS1,man6-tai4,question,问题,سوال,prashn,प्रश्न,प्रश्न,prashn,pertanyaan
2100,啦,啦,hbl__01,cat__sfp,edb__KS1,laa1,(particle),吧,(particle),(particle),,(particle),(particle),(imbuhan)
2110,啱,啱,hbl__01,cat__v_adj,edb__NA,ngaam1,correct,对,درست,darust,सहि,सही,sahi,benar
2120,喂,喂,hbl__01,cat__expr,edb__KS1,wai3,Hey!,喂,ارے!,arey,हे!,अरे!,are,hei
2130,喂,喂,hbl__01,cat__expr,edb__KS1,wai2,Hello,喂,ارے!,arey,हल,हैलो,Hello,hai
2140,喊,喊,hbl__01,cat__v_act,edb__KS1,haam3,to cry,哭,رونا,rona,रो,रोना,rona,menangis
2150,喎,喎,hbl__01,cat__sfp,edb__NA,wo3,(particle),哦,(particle),(particle),,(particle),(particle),oh
2160,單車,單車,hbl__01,cat__n_trans,edb__NA,daan1-ce1,bicycle,自行车,بائیسکل,bicycle,साइकल,साइकिल,cycle,sepeda
2170,嘈,嘈,hbl__01,cat__v_adj,edb__NA,cou4,noisy,吵,شور,shor,हल्ला,शोर भरा,shor bharaa,berisik
2180,嘩,嘩,hbl__01,cat__intj,edb__KS2,waa1,Wow!,哗,واہ,wah!,वाह!,वाह!,wah!,wow
2190,噉,噉,hbl__01,cat__gram,edb__NA,gam2,-ly,～地,,,,,,
2200,噉,噉,hbl__01,cat__adv,edb__NA,gam2,in this way,这样,اس طرح,is tarah,यो बाटो,इस तरह,is tarah,seperti itu
2210,噉樣,噉樣,hbl__01,cat__gram,edb__NA,gam2-joeng2,-ly,～地,,,,,,
2220,噉樣,噉樣,hbl__01,cat__adv,edb__NA,gam2-joeng2,in this way,这样,اس طرح,is tarah,यो बाटो,इस तरह,is tarah,seperti itu
2230,圈,圈,hbl__01,cat__n_abs,edb__KS2,hyun1,a circle,圈,دائره,daira,गोलाकार,वृत्त,vrit,lingkaran
2240,地方,地方,hbl__01,cat__n_place,edb__KS1,dei6-fong1,place,地方,جگہ,jga,स्थान,स्थान,sthaan,tempat
2250,坐車,坐車,hbl__01,cat__n_trans,edb__NA,co5-ce1,to ride a car,坐车,گاڑی کی سواری,gari ki swari krna,सवारी कार,कार से,Car se,naik mobil
105890,執起,執起,hbl__01,,,zap1-hei2,pick up,,,,,,,
2260,夜,夜,hbl__01,cat__v_adj,edb__KS1,je6,night,晚上,رات,raat,रात,रात,raat,malam hari
2270,太陽,太陽,hbl__01,cat__n_nature,edb__KS1,taai3-joeng4,sun,太阳,سورج,sooraj,सूर्य,सूरज,sooraj,matahari
2280,女,女,hbl__01,cat__v_cat,edb__KS1,neoi5,female,女,عورت,orat,महिला,महिला,mahila,perempuan
2290,女仔,女仔,hbl__01,cat__n_ppl,edb__NA,neoi5-zai2,girl,女孩,لڑکی,ladki,केटी,लड़की,ladki,gadis
2300,好嘢,好嘢,hbl__01,cat__intj,edb__NA,hou2-je5,Hurray!,好哇,ہورے!,hurray!,हुर्रे!,वाह!,wah!,hore!
2310,姨姨,姨姨,hbl__01,cat__n_ppl,edb__NA,ji1-ji1,auntie,姨姨,چچی,chaachi,काकी,चाची,chaachi,tante
2320,婆婆,婆婆,hbl__01,cat__n_ppl,edb__KS1,po4-po2,old woman,婆婆,بڑھیا,budiyaa,बुढी महिला,बुढ़िया,budiyaa,nenek tua
2330,婆婆,婆婆,hbl__01,cat__n_ppl,edb__KS1,po4-po2,grandmother (mother's mother),外婆,نانی,naani,हजुरआमा,नानी,naani,nenek
2340,嬲,嬲,hbl__01,cat__v_adj,edb__NA,nau1,angry,生气,غصہ,gusse mein,रिस,गुस्से में,gusse mein,marah
2350,對,對,hbl__01,cat__mw,edb__KS1,deoi3,pair,对,جوڑا,joda,जोडी,जोड़ा,joda,benar
2360,對唔住,對唔住,hbl__01,cat__expr,edb__NA,deoi3-m4-zyu6,Sorry!,对不起,معذرت!,maazrat!,मलाईं माफ गर्नुहोस्!,माफ़ करना!,maaf karna!,maaf
2370,小巴,小巴,hbl__01,cat__n_trans,edb__KS1,siu2-baa1,minibus,小巴,منی بس,mini bus,मिनीबस,छोटी बस,chhoti bus,minibus
2380,少少,少少,hbl__01,cat__num,edb__NA,siu2-siu2,a bit,少少,تھوڑا سا,thoda,अलिकति,थोड़ा,thoda,sedikit
2390,屋,屋,hbl__01,cat__n_house,edb__NA,uk1,house,房子,گھر,ghar,घर,मकान,makaan,rumah
2400,左,左,hbl__01,cat__v_cat,edb__KS1,zo2,left,左,بائیں,baayen,बाँया,बाएं,baayen,kiri
2410,已經,已經,hbl__01,cat__adv,edb__KS1,ji5-ging1,already,已经,پہلے سے,pehle se,पहिले नै,पहले से,pehle se,sudah
2420,幫,幫,hbl__01,cat__v_act,edb__KS1,bong1,to help,帮,مدد کرنا,madad karna,सहयोग गर्नु,मदद करना,madad karna,membantu
2430,廁所,廁所,hbl__01,cat__n_house,edb__KS1,ci3-so2,toilet,厕所,بیت الخلا,baitulkhala,शौचालय,शौचालय,shauchaalya,toilet
2440,廳,廳,hbl__01,cat__n_house,edb__KS1,teng1,hall,厅,بڑا کمرہ,bra kmra,हल,हॉल,hall,aula
2450,張,張,hbl__01,cat__mw,edb__KS1,zoeng1,(measure),张,(measure),(measure),,(measure),(measure),satuan lembar
2460,應該,應該,hbl__01,cat__v_modal,edb__KS1,jing1-goi1,should,应该,چاہیے,chaahiye,आवश्यक छ,चाहिए,chaahiye,sebaiknya
2470,成日,成日,hbl__01,cat__adv,edb__NA,seng4-jat6[sing4-jat6],always,成天,ہمیشہ,hamesha,सँधै,हमेशा,hamesha,sepanjang hari
2480,我哋,我哋,hbl__01,cat__pron,edb__NA,ngo5-dei6,we,我们,ہم,hum,हामी,हम,hum,kita
2490,打波,打波,hbl__01,cat__n_act,edb__NA,daa2-bo1,play basketball,打篮球,باسکٹ بال کھیلنا,basketball khelna,बास्केटबल खेल,बास्केटबॉल खेलो,basketball khelo,bermain basket
2500,拍,拍,hbl__01,cat__v_act,edb__KS1,paak3,to hit,拍,مارنا,maarna,खेलिरहेको,मारना,maarna,memukul
2510,拍手,拍手,hbl__01,cat__v_act,edb__NA,paak3-sau2,to clap hands,拍手,تالیاں بجانا,taali bajana,ताली बजाउनु,ताली बजाना,taali bajana,bertepuk tangan
106040,指住,指住,hbl__01,,,zi2-zyu6,point at,,,,,,,
2520,接,接,hbl__01,cat__v_act,edb__KS1,zip3,to catch,接,پکڑنا,pakadna,समात्नु,पकड़ना,pakadna,menjemput
2530,揾,揾,hbl__01,cat__v_act,edb__NA,wan2,to find,找,ڈھونڈنا,dhoondhna,खोज्न को लागि,ढूंढना,dhoondhna,mencari
2540,搭,搭,hbl__01,cat__v_act,edb__KS1,daap3,to take,坐,لینا,lena,-टेकिंग,लेना,lena,duduk
2531,搵,揾,hbl__01,cat__v_act,edb__NA,wan2,to find,找,ڈھونڈنا,dhoondhna,खोज्न को लागि,ढूंढना,dhoondhna,mencari
2550,支,支,hbl__01,cat__mw,edb__KS1,zi1,(measure),支,(measure),(measure),,(measure),(measure),satuan batang
7750,放低,放低,hbl__01,cat__freq,edb__NA,fong3-dai1,put down,,نیچے رکھو,neechey rakho,तल राख्नु,नीचे रखना ,neeche rakhna,meletakkan
2560,救命,救命,hbl__01,cat__expr,edb__KS1,gau3-meng6,Help!,救命,مدد!,madad!,मद्दत!,बचाओ!,bachaao!,tolong
2570,數,數,hbl__01,cat__v_act,edb__KS1,sou2,to count,数,گننا,ginna,गणना गर्न,गिनना,ginna,hitung
2580,數,數,hbl__01,cat__v_act,edb__KS1,sou3,number,数,نمبر,number,संख्या,संख्या,sankhyaa,nomor
2590,新,新,hbl__01,cat__v_adj,edb__KS1,san1,new,新,نئی,naya,नयाँ,नया,naya,baru
2600,日,日,hbl__01,cat__n_time,edb__KS1,jat6,day,天,دن,din,दिन,दिन,din,hari
2610,日日,日日,hbl__01,cat__adv,edb__NA,jat6-jat6,every day,天天,ہر روز,har roz,हरेक दिन,हर दिन,har din,hari demi hari
2620,早,早,hbl__01,cat__v_adj,edb__KS1,zou2,early,早,جلدی,jaldi,चाँडै,जल्दी,jaldi,dini
106110,明,明,hbl__01,,,ming4,to understand,,,,,,,
2630,明白,明白,hbl__01,cat__v_stat,edb__KS1,ming4-baak6,clear,明白,صاف,saf,स्पष्ट,स्पष्ट,spasht,memahami
2640,易,易,hbl__01,cat__v_adj,edb__KS1,ji6,easy,容易,آسان,asaan,सजिलो,आसान,asaan,gampang
2650,晏晝,晏晝,hbl__01,cat__n_time,edb__NA,aan3-zau3,afternoon,中午,سہ پہر,dopahar,दिउँसो,दोपहर,dopahar,siang
2660,晒,晒,hbl__01,cat__aff,edb__NA,saai3,all,全都,سب,sab,सबै,सब,sab,semua
2670,曳,曳,hbl__01,cat__v_adj,edb__NA,jai5,naughty,顽皮,شرارتی,sharti,शरारती,नटखट,natkhat,nakal
2680,月亮,月亮,hbl__01,cat__n_nature,edb__KS1,jyut6-loeng6,moon,月亮,چاند,chaand,चन्द्रमा,चांद,chaand,bulan
2690,有啲,有啲,hbl__01,cat__num,edb__NA,jau5-di1,a bit,有些,تھوڑا سا,thoda saa,अलिकति,थोड़ा सा,thoda saa,beberapa
2700,朝早,朝早,hbl__01,cat__n_time,edb__NA,ziu1-zou2,morning,早上,صبح,subah,बिहान,सुबह,subah,pagi
2710,杯,杯,hbl__01,cat__n_daily,edb__KS1,bui1,cup,杯,پیالہ,pyala,कचौरा,कप,cup,cangkir
2720,枱,枱,hbl__01,cat__n_daily,edb__KS1,toi4,table,桌,میز,mez,टेबल,मेज़,mez,meja
2730,架,架,hbl__01,cat__mw,edb__KS1,gaa3,(measure),辆,(measure),(measure),,(measure),(measure),satuan buah
2740,條,條,hbl__01,cat__mw,edb__KS1,tiu4,(measure),条,(measure),(measure),,(measure),(measure),satuan batang
2750,樣,樣,hbl__01,cat__n_abs,edb__KS1,joeng6,kind,样,طرح,tarah,दयालु,तरह,tarah,jenis
2760,櫃,櫃,hbl__01,cat__n_house,edb__NA,gwai6,cabinet,柜子,کابینہ,kabina,मन्त्रिपरिषद्,मंत्रिमंडल,mantrimandal,lemari
2770,櫈,櫈,hbl__01,cat__n_daily,edb__NA,dang3,chair,椅子,کرسی,kursi,कुर्सी,कुरसी,kursi,kursi
2780,歌,歌,hbl__01,cat__n_abs,edb__KS1,go1,song,歌,گانا,gana,गीत,गीत,geet,lagu
2790,沖涼,沖涼,hbl__01,cat__v_act,edb__NA,cung1-loeng4,take a shower,冲凉,نہانا,nahaana,नुहाउनु,नहाना,nahaana,mandi
2800,沙,沙,hbl__01,cat__n_nature,edb__KS1,saa1,sand,沙,ریت,reit,बालुवा,रेत,reit,pasir
2810,沙灘,沙灘,hbl__01,cat__n_place,edb__KS1,saa1-taan1,sandy beach,沙滩,ریت والا ساحل,reiteela sahil,Sandy समुद्र तट,रेतीला तट,reiteela tat,pantai
2820,洗,洗,hbl__01,cat__v_act,edb__KS1,sai2,to wash,洗,دھونا,dhona,धुनु,धोना,dhona,mencuci
2830,海,海,hbl__01,cat__n_nature,edb__KS1,hoi2,sea,海,سمندر,samudr,समुद्री,समुद्र,samudr,laut
2840,海邊,海邊,hbl__01,cat__n_place,edb__KS1,hoi2-bin1,seaside,海边,سمندر کنارے,samudr kinary,समुद्री किनार,समुद्रतट,samudrtat,tepi laut
2850,温書,温書,hbl__01,cat__freq,edb__NA,wan1-syu1,to study,学习,پڑھنا,padna,पढ्न को लागी,पढ़ना,padna,belajar
2860,湯,湯,hbl__01,cat__n_food,edb__KS1,tong1,soup,汤,سوپ,soup,सूप,सूप,soup,sup
2870,溫書,温書,hbl__01,cat__freq,edb__NA,wan1-syu1,to study,学习,پڑھنا,padna,पढ्न को लागी,पढ़ना,padna,belajar
2880,熱,熱,hbl__01,cat__v_adj,edb__KS1,jit6,hot,热,گرم,garam,तातो,गरम,garam,panas
2890,班,班,hbl__01,cat__mw,edb__KS1,baan1,class,班,کلاس,glass,कक्षा,कक्षा,kaksha,kelas
2900,用,用,hbl__01,cat__v_act,edb__KS1,jung6,to use,用,استعمال کرنا,istimal krna,प्रयोग गर्न,उपयोग करना,upyog karna,menggunakan
2910,男,男,hbl__01,cat__v_cat,edb__KS1,naam4,male,男,مرد,mrd,नर,पुरुष,purush,pria
2920,男仔,男仔,hbl__01,cat__n_ppl,edb__NA,naam4-zai2,boy,男孩,لڑکا,ladka,केटा,लड़का,ladka,anak laki-laki
2930,畀,畀,hbl__01,cat__v_act,edb__NA,bei2,to give,给,دینا,dena,दिनु,देना,dena,memberikan
2940,畀,畀,hbl__01,cat__v_act,edb__NA,bei2,"by, to",给,بذریعہ /کو,bzrya / ko,द्वारा,द्वारा / को,dwara / ko,memberikan
2950,痛,痛,hbl__01,cat__v_stat,edb__KS1,tung3,painful,痛,تکلیف دہ,tkleefda,पीडादायी,दर्दनाक,dardnaak,sakit
2960,真係,真係,hbl__01,cat__adv,edb__NA,zan1-hai6,really,真的,اصل میں,isl mein,वास्तवमा,वास्तव में,vastav mein,sungguh
2970,瞓,瞓,hbl__01,cat__v_act,edb__NA,fan3,to sleep,睡,سونا,sona,सुत्न,सोना,sona,tidur
2980,知,知,hbl__01,cat__v_stat,edb__KS1,zi1,to know,知,جاننا,jaanna,जान्न,जानना,jaanna,tahu
2990,知道,知道,hbl__01,cat__v_stat,edb__KS1,zi1-dou3,to know,知道,جاننا,jaanna,जान्न,जानना,jaanna,tahu
3000,短,短,hbl__01,cat__v_adj,edb__KS1,dyun2,short,短,کم,kum,थोरै,कम,kum,pendek
3010,碗,碗,hbl__01,cat__n_daily,edb__KS1,wun2,bowl,碗,کٹورا,katora,कचौरा,कटोरा,katora,mangkuk
3020,碟,碟,hbl__01,cat__n_daily,edb__KS1,dip6,dish,盘子,تھالی,thaali,प्लेट,थाली,thaali,piring
106310,禽日,禽日,hbl__01,,,kam4-jat6,yesterday,,,,,,,
3030,笑,笑,hbl__01,cat__v_act,edb__KS1,siu3,to laugh,笑,ہنسنا,hansnaa,हाँस्न,हंसना,hansnaa,tertawa
3040,答,答,hbl__01,cat__v_act,edb__KS1,daap3,to reply,回答,جواب دینا,jawaab dena,दुबैलाई जवाफ दिनुहोस्,ज़वाब दोना,jawaab dena,balasan
3050,粒,粒,hbl__01,cat__mw,edb__KS1,nap1,grain,粒,اناج,anaaj,अन्न,अनाज,anaaj,satuan butir
3060,老鼠,老鼠,hbl__01,cat__n_animal,edb__KS1,lou5-syu2,mouse,老鼠,چوہا,chuha,र्याट,चूहा,chuha,tikus
3070,聽,聽,hbl__01,cat__v_act,edb__KS1,teng1,to hear,听,سُننا,sunna,सुन्नु,सुनना,sunna,mendengarkan
3080,聽,聽,hbl__01,cat__v_act,edb__KS1,ting1,to hear,听,سُننا,sunna,सुन्नु,सुनना,sunna,mendengarkan
3090,聽,聽,hbl__01,cat__v_act,edb__KS1,ting3,to hear,听,سُننا,sunna,सुन्नु,सुनना,sunna,mendengarkan
3100,肉,肉,hbl__01,cat__n_food,edb__KS1,juk6,meat,肉,گوشت,gosht,मासु,मांस,maans,daging
3110,肚,肚,hbl__01,cat__n_body,edb__NA,tou5,tummy,肚子,پیٹ,peit,पेट,पेट,peit,perut
3120,肚餓,肚餓,hbl__01,cat__v_adj,edb__NA,tou5-ngo6,hungry,饿,بھوکا,bhookha,खाली पेट,भूखा,bhookha,lapar
3130,舊,舊,hbl__01,cat__v_adj,edb__KS1,gau6,past,旧,ماضی,maazi,विगत,अतीत,ateet,tua
3140,花,花,hbl__01,cat__n_nature,edb__KS1,faa1,flower,花,پھول,phool,फूल,फूल,phool,bunga
3150,花,花,hbl__01,cat__n_nature,edb__KS1,faa1,to spend,花,خرچ کرنا,kharch karna,खर्च गर्नु,खर्च करना,kharch karna,pakai
3160,落,落,hbl__01,cat__v_dir,edb__KS1,lok6,to fall,下,گرنا,girna,ड्रप,गिरना,girna,turun
3170,落去,落去,hbl__01,cat__v_dir,edb__NA,lok6-heoi3,to go down,下去,نیچے جانا,neeche jana,तल जानु,नीचे जाना,neeche jana,turun kebawah
3180,落嚟,落嚟,hbl__01,cat__v_dir,edb__NA,lok6-lai4,to come down,下来,نیچے انا,neeche aana,तल आउन,नीचे आना,neeche aana,turun kesini
3190,行路,行路,hbl__01,cat__n_trans,edb__NA,haang4-lou6,walking,走路,چلنا,chalna,वरिपरि घुम्न,चलना,chalna,berjalan
3200,要,要,hbl__01,cat__v_modal,edb__KS1,jiu3,to want,要,چاہنا,chahna,चाहनु,चाहना,chahna,mau
3210,覺得,覺得,hbl__01,cat__v_stat,edb__KS1,gok3-dak1,to feel,觉得,محسوس کرنا,mehsoos karna,महसुस गर्न,महसूस करना,mehsoos karna,merasa
3220,豬,豬,hbl__01,cat__n_animal,edb__KS1,zyu1,pig,猪,خنزیر,khanzeer,सुँगुरहरु,सूअर,suar,babi
3230,起身,起身,hbl__01,cat__v_act,edb__NA,hei2-san1,to get up,起床,اٹھنا,uthna,उठ,उठना,uthna,bangun
3240,跌,跌,hbl__01,cat__v_act,edb__KS1,dit3,to fall,摔,گرنا,girna,ड्रप,गिरना,girna,jatuh
3250,跌親,跌親,hbl__01,cat__v_act,edb__NA,dit3-can1,fall down,摔到,نیچے گرنا,neeche girna,तल झर्नु,नीचे गिरना,neeche girna,jatuh
3260,跑,跑,hbl__01,cat__v_act,edb__KS1,paau2,to run,跑,بھاگنا,bhaagna,दगुर्नु,भागना,bhaagna,lari
3270,跟住,跟住,hbl__01,cat__conj,edb__NA,gan1-zyu6,and then,接下来,اور پھر,aur phir,अनि त्यसपछि,और फिर,aur phir,lanjut
3280,跳,跳,hbl__01,cat__v_act,edb__KS1,tiu3,to jump,跳,کودنا,koodna,उफ्रिनु,कूदना,koodna,melompat
3290,踢波,踢波,hbl__01,cat__n_act,edb__NA,tek3-bo1,to play football,踢球,فٹ بال کھیلنا,football khelna,फुटबल खेल्न,फुटबॉल खेलना,football khelna,bermain sepakbola
3300,輕,輕,hbl__01,cat__v_adj,edb__KS1,hing1,light,轻,روشنی,roshni,हल्का,रोशनी,roshni,ringan
3310,轉,轉,hbl__01,cat__v_act,edb__KS1,zyun2,to turn,转,مرنا,mudna,मोड्नु,मुड़ना,mudna,belok
3320,轉,轉,hbl__01,cat__v_act,edb__KS1,zyun3,to rotate,转,گھمانا,ghumaana,स्पिन,घुमाना,ghumaana,belok
3330,送,送,hbl__01,cat__v_act,edb__KS1,sung3,to send,送,بھیجنا,bhejna,पठाउनु,भेजना,bhejna,memberikan
3340,過,過,hbl__01,cat__aff,edb__KS1,gwo3,to pass,过,گزرنا,guzrna,पारित गर्न,पास से गुजरना,paas se gujarna,lalu
3350,郁,郁,hbl__01,cat__v_act,edb__NA,juk1,to move,动物,ہلانا,hilana,हल्लाउनु,हिलना,hilna,binatang
3360,部,部,hbl__01,cat__mw,edb__KS1,bou6,(measure),台,ناپنا,(measure),,(measure),(measure),satuan buah
3370,都,都,hbl__01,cat__adv,edb__KS1,dou1,"all, also",都,سب بھی,"sabhi, bhi",सबै पनि,"सभी, भी","sabhi, bhi",juga
